;stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;location_type
375;35;NA;Urbieta 20;43.31726893;-1.983020988;1;0
376;36;NA;Zubieta-San Martín;43.31549695;-1.987292654;1;0
377;37;NA;Okendo 5;43.32091112;-1.980481338;1;0
378;38;NA;Loiola Parking II;43.31124797;-1.969273841;1;0
379;39;NA;Zubieta Plaza;43.31574838;-1.987214487;1;0
380;380;NA;Katalina Eleizegi 13;43.30472341;-1.987829088;1;0
381;260;NA;Begiristain I;43.29997459;-1.968293103;1;0
382;140;NA;Buenavista Casares;43.32095667;-1.92259033;1;0
383;261;NA;Begiristain II;43.30091691;-1.967944291;1;0
384;141;NA;Casares 69;43.32016953;-1.926020385;1;0
385;262;NA;Lorearte;43.29597088;-1.966659569;1;0
386;383;NA;Molinao Plaza I;43.31259459;-1.920999392;1;0
387;142;NA;Darieta;43.32035709;-1.925856757;1;0
388;263;NA;Txiskuene;43.29616694;-1.966434348;1;0
389;143;NA;Casares 42;43.31973802;-1.92993741;1;0
390;264;NA;Donostiako Ospitalea I;43.29356519;-1.968487762;1;0
391;144;NA;Oleta;43.31970709;-1.929518646;1;0
392;265;NA;Donostiako Ospitalea II;43.29315516;-1.9689508;1;0
393;145;NA;Arrizar;43.31843941;-1.928763969;1;0
394;266;NA;Ospitalea/Hospital I;43.29308045;-1.970653213;1;0
395;146;NA;Aitz Gain;43.31810994;-1.933012047;1;0
396;267;NA;Ospitalea/Hospital II;43.29284249;-1.970225778;1;0
397;147;NA;Txirrita 54;43.31749199;-1.937240443;1;0
398;268;NA;Onkologikoa;43.29155359;-1.974093512;1;0
399;269;NA;Avda Zarauz 122;43.30276251;-2.003445667;1;0
400;148;NA;Txirrita 21;43.3154753;-1.939211671;1;0
401;149;NA;Txirrita 13;43.31405943;-1.938977341;1;0
402;40;NA;Ondarreta;43.31512555;-2.000345705;1;0
403;41;NA;Esklabak;43.31445265;-2.002687392;1;0
404;42;NA;Zumalaka.21;43.31345216;-2.004639771;1;0
405;43;NA;Majisteritza;43.31169921;-2.008084057;1;0
406;44;NA;Unibertsitatea Tol.77;43.30753503;-2.008644984;1;0
407;45;NA;Tolosa 111;43.3052384;-2.006512291;1;0
408;46;NA;Amerika Plaza;43.30235052;-2.003698978;1;0
409;47;NA;Errotaburu 5;43.30103681;-2.003806734;1;0
410;48;NA;Zuatzu;43.29794454;-2.007518691;1;0
411;49;NA;Errotaburu 6;43.30085354;-2.00447548;1;0
412;270;NA;Onkologikoa II;43.29167355;-1.973413516;1;0
413;150;NA;Pinudi/ Pinares;43.32188864;-1.975001466;1;0
414;271;NA;Miramón;43.29011362;-1.983251719;1;0
415;151;NA;Zuatzu-Urola;43.29617278;-2.009840484;1;0
416;273;NA;Mikeleteak 4;43.31396113;-2.000019514;1;0
417;394;NA;Etxadi Parkea;43.30109117;-1.988456477;1;0
418;152;NA;F. Sasiain;43.32168714;-1.961648248;1;0
419;274;NA;Mikeleteak 1;43.31375266;-1.999862625;1;0
